timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76353E+12,53,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,53,0,17,,,,,
1.76353E+12,33,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,17,0,0,,,,,
1.76353E+12,17,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,17,0,0,,,,,
1.76353E+12,16,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,# of requests,,,53294
1.76353E+12,63,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,63,0,16,,time,,27141,27.141
1.76353E+12,41,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,24,0,0,,throughput,,,1963.597509
1.76353E+12,24,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,3,3,http://172.26.129.146:8080/roller/roller_j_security_check,24,0,0,,elapsed,,6558487,123.0623898
1.76353E+12,17,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,17,0,0,,latency,,4815228,90.35215972
1.76353E+12,72,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,72,0,0,,delay,,1743259,32.71023004
1.76353E+12,89,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
