timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76E+12,17,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,1,1,http://172.26.129.146:8080/roller/,17,0,2,,# of requests,,,46090
1.76E+12,47,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,26,0,0,,Time,,38785,38.785
1.76E+12,26,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,26,0,0,,throughput,,,1188.34601
1.76E+12,21,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,21,0,0,,elapsed,,4114924,89.28019093
1.76E+12,137,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,4,4,http://172.26.129.146:8080/roller/,137,0,14,,latency,,2886783,62.63360816
1.76E+12,42,/roller/-332,200,OK,User1 2-4,text,TRUE,,7249,356,4,4,http://172.26.129.146:8080/roller/,42,0,2,,delays,,1228141,26.64658
1.76E+12,143,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,110,0,0,,,,,
1.76E+12,110,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,5,5,http://172.26.129.146:8080/roller/roller_j_security_check,110,0,0,,,,,
1.76E+12,32,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,32,0,0,,,,,
1.76E+12,19,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6284,951,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,
1.76E+12,13,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-4,,TRUE,,170,480,5,5,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,13,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-4,text,TRUE,,6114,471,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,33,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,27,0,0,,,,,
1.76E+12,27,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,5,5,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,27,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,
