timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of requests,,,,49189
1.76344E+12,54,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,54,0,7,,time,,,39564,39.564
1.76344E+12,11,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,throughput,,,,1243.276716
1.76344E+12,5,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,5,0,0,,elapsed,,,5211607,105.9506597
1.76344E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,latency,,,3694505,75.10835756
1.76344E+12,53,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,53,0,17,,delay,,,1517102,30.84230214
1.76344E+12,36,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,,
1.76344E+12,6,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,3,3,http://172.26.129.146:8080/roller/roller_j_security_check,6,0,0,,,,,,
1.76344E+12,30,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,30,0,0,,,,,,
1.76344E+12,34,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,,
1.76344E+12,11,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,3,3,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,11,0,0,,,,,,
1.76344E+12,23,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,23,0,0,,,,,,
1.76344E+12,26,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,26,0,0,,,,,,
1.76344E+12,43,/roller/-332,200,OK,User1 2-3,text,TRUE,,7249,356,3,3,http://172.26.129.146:8080/roller/,43,0,10,,,,,,
1.76344E+12,29,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6284,1001,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,,
1.76344E+12,14,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-1,,TRUE,,170,500,4,4,http://172.26.129.146:8080/roller/roller-ui/menu.rol,14,0,0,,,,,,
1.76344E+12,15,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6114,501,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,,
1.76344E+12,20,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-3,text,TRUE,,6284,951,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,,
1.76344E+12,14,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-3,,TRUE,,170,480,4,4,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,14,0,0,,,,,,
1.76344E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-3,text,TRUE,,6114,471,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,,
1.76344E+12,24,/roller/roller_j_security_check-338,200,OK,User1 2-2,text,TRUE,,6553,1221,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,10,0,0,,,,,,
1.76344E+12,10,/roller/roller_j_security_check-338-0,302,Found,User1 2-2,,TRUE,,259,637,4,4,http://172.26.129.146:8080/roller/roller_j_security_check,10,0,0,,,,,,
1.76344E+12,14,/roller/roller_j_security_check-338-1,200,OK,User1 2-2,text,TRUE,,6294,584,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,14,0,0,,,,,,
1.76344E+12,28,/roller/-332,200,OK,User1 2-4,text,TRUE,,7249,356,4,4,http://172.26.129.146:8080/roller/,28,0,8,,,,,,
1.76344E+12,23,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6294,501,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,23,0,0,,,,,,
1.76344E+12,21,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6284,951,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,,
1.76344E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-4,,TRUE,,170,480,4,4,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,,
