timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76E+12,35,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,1,1,http://172.26.129.146:8080/roller/,35,0,2,,,# of messages,,46042
1.76E+12,10,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,2,0,0,,,response time,41296,41.296
1.76E+12,2,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,1,1,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,2,0,0,,,Throughput,,1114.926385
1.76E+12,8,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,latency,3840577,
1.76E+12,15,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,15,0,2,,,Avg latency ,,83.41464315
1.76E+12,19,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,4,0,0,,,,,
1.76E+12,4,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,2,2,http://172.26.129.146:8080/roller/roller_j_security_check,4,0,0,,,Elapsed,5299760,
1.76E+12,14,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,14,0,0,,,processing delay,1459183,
1.76E+12,14,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,14,0,0,,,avg processing delay,,31.692433
1.76E+12,23,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,16,0,0,,,,,
1.76E+12,16,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,16,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,9,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6284,1001,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,2,0,0,,,,,
