timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,# of messages,,,47855
1.76E+12,37,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,1,1,http://172.26.129.146:8080/roller/,37,0,5,,Time,,44115,44.115
1.76E+12,13,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,throughput,,,1084.77842
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,1,1,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,elapsed,,5686234,118.8221502
1.76E+12,7,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,latency,,3991025,83.39828649
1.76E+12,26,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,26,0,4,,delay,,1695209,35.42386376
1.76E+12,12,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,6,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76E+12,41,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,5,0,0,,,,,
1.76E+12,5,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,2,2,http://172.26.129.146:8080/roller/roller_j_security_check,5,0,0,,,,,
1.76E+12,35,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,35,0,0,,,,,
1.76E+12,6,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,
1.76E+12,13,/roller/roller_j_security_check-338,200,OK,User1 2-2,text,TRUE,,6553,1221,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,4,0,0,,,,,
1.76E+12,4,/roller/roller_j_security_check-338-0,302,Found,User1 2-2,,TRUE,,259,637,3,3,http://172.26.129.146:8080/roller/roller_j_security_check,4,0,0,,,,,
1.76E+12,9,/roller/roller_j_security_check-338-1,200,OK,User1 2-2,text,TRUE,,6294,584,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,
1.76E+12,8,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6294,501,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,8,0,0,,,,,
1.76E+12,16,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6284,1001,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,
1.76E+12,5,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-1,,TRUE,,170,500,3,3,http://172.26.129.146:8080/roller/roller-ui/menu.rol,5,0,0,,,,,
1.76E+12,11,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6114,501,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,
1.76E+12,10,/roller/roller-ui/menu.rol-343,200,OK,User1 2-2,text,TRUE,,6284,1001,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76E+12,3,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-2,,TRUE,,170,500,3,3,http://172.26.129.146:8080/roller/roller-ui/menu.rol,3,0,0,,,,,
1.76E+12,7,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-2,text,TRUE,,6114,501,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,
1.76E+12,28,/roller/-332,200,OK,User1 2-3,text,TRUE,,7249,356,3,3,http://172.26.129.146:8080/roller/,28,0,2,,,,,
1.76E+12,15,/roller/roller-ui/menu.rol-348,200,OK,User1 2-1,text,TRUE,,6284,979,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,,,,
1.76E+12,7,/roller/roller-ui/menu.rol-348-0,302,Found,User1 2-1,,TRUE,,170,489,3,3,http://172.26.129.146:8080/roller/roller-ui/menu.rol,7,0,0,,,,,
1.76E+12,8,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-1,text,TRUE,,6114,490,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,
1.76E+12,38,/roller/-353,200,OK,User1 2-1,text,TRUE,,6552,471,3,3,http://172.26.129.146:8080/roller/,38,0,0,,,,,
