timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76336E+12,25,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,1,1,http://172.26.129.146:8080/roller/,25,0,4,,# of messages,,,47139
1.76336E+12,15,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,time,,36079,36.079
1.76336E+12,9,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,1,1,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,9,0,0,,throughput,,,1306.549516
1.76336E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,1,1,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,elapsed,,4363843,92.5739409
1.76336E+12,17,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,2,2,http://172.26.129.146:8080/roller/,17,0,3,,latency,,3030939,64.29790619
1.76336E+12,48,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,12,0,0,,delays,,1332904,28.27603471
1.76336E+12,12,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,2,2,http://172.26.129.146:8080/roller/roller_j_security_check,12,0,0,,,,,
1.76336E+12,36,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,36,0,0,,,,,
1.76336E+12,20,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76336E+12,14,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,14,0,0,,,,,
1.76336E+12,6,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76336E+12,9,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,9,0,0,,,,,
