timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76336E+12,154,/roller/-332,200,OK,User1 2-1,text,TRUE,,7104,356,4,4,http://172.26.129.146:8080/roller/,154,0,2,,,,,
1.76336E+12,107,/roller/-332,200,OK,User1 2-2,text,TRUE,,7104,356,4,4,http://172.26.129.146:8080/roller/,107,0,20,,# of requests,,,46763
1.76336E+12,158,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6183,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,Time,,146118,146.118
1.76336E+12,5,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,5,0,0,,throughput,,,320.0358614
1.76336E+12,153,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6013,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,153,0,0,,elapsed,,31552827,674.7391527
1.76336E+12,153,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6183,951,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,12,0,0,,latency,,20887082,446.6582982
1.76336E+12,12,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,7,7,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,12,0,0,,delays,,10665745,228.0808545
1.76336E+12,141,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6013,471,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,141,0,0,,,,,
1.76336E+12,212,/roller/-332,200,OK,User1 2-3,text,TRUE,,7104,356,7,7,http://172.26.129.146:8080/roller/,212,0,57,,,,,
1.76336E+12,160,/roller/-332,200,OK,User1 2-4,text,TRUE,,7104,356,7,7,http://172.26.129.146:8080/roller/,160,0,6,,,,,
1.76336E+12,200,/roller/-332,200,OK,User1 2-5,text,TRUE,,7104,356,8,8,http://172.26.129.146:8080/roller/,200,0,53,,,,,
1.76336E+12,125,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-3,text,TRUE,,6183,951,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,
1.76336E+12,10,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-3,,TRUE,,170,480,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,10,0,0,,,,,
1.76336E+12,115,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-3,text,TRUE,,6013,471,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,115,0,0,,,,,
1.76336E+12,130,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6183,951,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,
1.76336E+12,10,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-4,,TRUE,,170,480,9,9,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,10,0,0,,,,,
1.76336E+12,120,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-4,text,TRUE,,6013,471,9,9,http://172.26.129.146:8080/roller/roller-ui/login.rol,120,0,0,,,,,
1.76336E+12,101,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6183,951,11,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,,,,
1.76336E+12,8,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-5,,TRUE,,170,480,11,13,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,8,0,0,,,,,
1.76336E+12,93,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6013,471,11,13,http://172.26.129.146:8080/roller/roller-ui/login.rol,93,0,0,,,,,
