timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76343E+12,54,/roller/-332,200,OK,User1 2-1,text,TRUE,,7104,356,2,2,http://172.26.129.146:8080/roller/,54,0,2,,,,,
1.76343E+12,31,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6183,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,# of requests,,,49285
1.76343E+12,4,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-1,,TRUE,,170,480,2,2,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,4,0,0,,time,,109365,109.365
1.76343E+12,27,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6013,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,27,0,0,,throughput,,,450.6469163
1.76343E+12,46,/roller/-332,200,OK,User1 2-2,text,TRUE,,7104,356,2,2,http://172.26.129.146:8080/roller/,46,0,2,,elapsed,,19976342,405.3229583
1.76343E+12,49,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6183,951,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,7,0,0,,latency,,12529787,254.2312468
1.76343E+12,7,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-2,,TRUE,,170,480,3,3,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,7,0,0,,delay,,7446555,151.0917115
1.76343E+12,42,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6013,471,3,3,http://172.26.129.146:8080/roller/roller-ui/login.rol,42,0,0,,,,,
1.76343E+12,65,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6452,1221,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,8,0,0,,,,,
1.76343E+12,8,/roller/roller_j_security_check-338-0,302,Found,User1 2-1,,TRUE,,259,637,4,4,http://172.26.129.146:8080/roller/roller_j_security_check,8,0,0,,,,,
1.76343E+12,57,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6193,584,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,57,0,0,,,,,
1.76343E+12,54,/roller/-332,200,OK,User1 2-3,text,TRUE,,7104,356,4,4,http://172.26.129.146:8080/roller/,54,0,2,,,,,
1.76343E+12,35,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6193,501,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,35,0,0,,,,,
1.76343E+12,49,/roller/roller_j_security_check-338,200,OK,User1 2-2,text,TRUE,,6452,1221,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,5,0,0,,,,,
1.76343E+12,5,/roller/roller_j_security_check-338-0,302,Found,User1 2-2,,TRUE,,259,637,4,4,http://172.26.129.146:8080/roller/roller_j_security_check,5,0,0,,,,,
1.76343E+12,44,/roller/roller_j_security_check-338-1,200,OK,User1 2-2,text,TRUE,,6193,584,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,44,0,0,,,,,
1.76343E+12,42,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-3,text,TRUE,,6183,951,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,,,,
1.76343E+12,3,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-3,,TRUE,,170,480,4,4,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,3,0,0,,,,,
1.76343E+12,39,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-3,text,TRUE,,6013,471,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,39,0,0,,,,,
1.76343E+12,58,/roller/-332,200,OK,User1 2-4,text,TRUE,,7104,356,5,5,http://172.26.129.146:8080/roller/,58,0,5,,,,,
1.76343E+12,39,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6183,1001,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,4,0,0,,,,,
1.76343E+12,4,/roller/roller-ui/menu.rol-343-0,302,Found,User1 2-1,,TRUE,,170,500,5,5,http://172.26.129.146:8080/roller/roller-ui/menu.rol,4,0,0,,,,,
1.76343E+12,35,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6013,501,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,35,0,0,,,,,
1.76343E+12,35,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6193,501,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,35,0,0,,,,,
1.76343E+12,41,/roller/roller_j_security_check-338,200,OK,User1 2-3,text,TRUE,,6452,1221,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,6,0,0,,,,,
1.76343E+12,6,/roller/roller_j_security_check-338-0,302,Found,User1 2-3,,TRUE,,259,637,5,5,http://172.26.129.146:8080/roller/roller_j_security_check,6,0,0,,,,,
1.76343E+12,35,/roller/roller_j_security_check-338-1,200,OK,User1 2-3,text,TRUE,,6193,584,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,35,0,0,,,,,
1.76343E+12,49,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6183,951,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,21,0,0,,,,,
1.76343E+12,21,/roller/roller-ui/login-redirect.rol-333-0,302,Found,User1 2-4,,TRUE,,170,480,6,6,http://172.26.129.146:8080/roller/roller-ui/login-redirect.rol,21,0,0,,,,,
