timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,
1.76336E+12,41,/roller/-332,200,OK,User1 2-1,text,TRUE,,7249,356,1,1,http://172.26.129.146:8080/roller/,41,0,2,,# of requests,,,44656
1.76336E+12,12,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-1,text,TRUE,,6284,951,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,3,0,0,,time,,72575,72.575
1.76336E+12,9,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-1,text,TRUE,,6114,471,2,2,http://172.26.129.146:8080/roller/roller-ui/login.rol,9,0,0,,throughput,,,615.3083018
1.76336E+12,89,/roller/-332,200,OK,User1 2-2,text,TRUE,,7249,356,3,3,http://172.26.129.146:8080/roller/,89,0,4,,elapsed,,6539223,146.4354846
1.76336E+12,18,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-2,text,TRUE,,6284,951,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,latency,,5523025,123.6793488
1.76336E+12,8,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-2,text,TRUE,,6114,471,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,8,0,0,,delays,,1016198,22.75613579
1.76336E+12,118,/roller/roller_j_security_check-338,200,OK,User1 2-1,text,TRUE,,6553,1221,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,67,0,0,,,,,
1.76336E+12,51,/roller/roller_j_security_check-338-1,200,OK,User1 2-1,text,TRUE,,6294,584,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,51,0,0,,,,,
1.76336E+12,12,/roller/roller-ui/login.rol-340,200,OK,User1 2-1,text,TRUE,,6294,501,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,12,0,0,,,,,
1.76336E+12,85,/roller/-332,200,OK,User1 2-3,text,TRUE,,7249,356,4,4,http://172.26.129.146:8080/roller/,85,0,2,,,,,
1.76336E+12,23,/roller/roller-ui/menu.rol-343,200,OK,User1 2-1,text,TRUE,,6284,1001,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,2,0,0,,,,,
1.76336E+12,21,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-1,text,TRUE,,6114,501,4,4,http://172.26.129.146:8080/roller/roller-ui/login.rol,21,0,0,,,,,
1.76336E+12,61,/roller/roller_j_security_check-338,200,OK,User1 2-2,text,TRUE,,6553,1221,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,50,0,0,,,,,
1.76336E+12,10,/roller/roller_j_security_check-338-1,200,OK,User1 2-2,text,TRUE,,6294,584,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,10,0,0,,,,,
1.76336E+12,70,/roller/-332,200,OK,User1 2-4,text,TRUE,,7249,356,5,5,http://172.26.129.146:8080/roller/,70,0,2,,,,,
1.76336E+12,23,/roller/roller-ui/menu.rol-348,200,OK,User1 2-1,text,TRUE,,6284,979,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,10,0,0,,,,,
1.76336E+12,13,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-1,text,TRUE,,6114,490,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,
1.76336E+12,25,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-3,text,TRUE,,6284,951,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,5,0,0,,,,,
1.76336E+12,20,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-3,text,TRUE,,6114,471,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,20,0,0,,,,,
1.76336E+12,15,/roller/roller-ui/login.rol-340,200,OK,User1 2-2,text,TRUE,,6294,501,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,15,0,0,,,,,
1.76336E+12,25,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-4,text,TRUE,,6284,951,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,
1.76336E+12,14,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-4,text,TRUE,,6114,471,5,5,http://172.26.129.146:8080/roller/roller-ui/login.rol,14,0,0,,,,,
1.76336E+12,37,/roller/-332,200,OK,User1 2-5,text,TRUE,,7249,356,5,5,http://172.26.129.146:8080/roller/,36,0,2,,,,,
1.76336E+12,16,/roller/roller-ui/login-redirect.rol-333,200,OK,User1 2-5,text,TRUE,,6284,951,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,2,0,0,,,,,
1.76336E+12,13,/roller/roller-ui/login-redirect.rol-333-1,200,OK,User1 2-5,text,TRUE,,6114,471,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,13,0,0,,,,,
1.76336E+12,53,/roller/roller-ui/menu.rol-343,200,OK,User1 2-2,text,TRUE,,6284,1001,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,11,0,0,,,,,
1.76336E+12,53,/roller/roller_j_security_check-338,200,OK,User1 2-3,text,TRUE,,6553,1221,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,11,0,0,,,,,
1.76336E+12,42,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-2,text,TRUE,,6114,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol,42,0,0,,,,,
1.76336E+12,42,/roller/roller_j_security_check-338-1,200,OK,User1 2-3,text,TRUE,,6294,584,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,42,0,0,,,,,
1.76336E+12,43,/roller/-332,200,OK,User1 2-6,text,TRUE,,7249,356,6,6,http://172.26.129.146:8080/roller/,43,0,2,,,,,
1.76336E+12,61,/roller/-353,200,OK,User1 2-1,text,TRUE,,6552,471,6,6,http://172.26.129.146:8080/roller/,61,0,0,,,,,
1.76336E+12,7,/roller/roller-ui/login.rol-340,200,OK,User1 2-3,text,TRUE,,6294,501,6,6,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,7,0,0,,,,,
1.76336E+12,55,/roller/roller_j_security_check-338,200,OK,User1 2-4,text,TRUE,,6553,1221,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,47,0,0,,,,,
1.76336E+12,8,/roller/roller_j_security_check-338-1,200,OK,User1 2-4,text,TRUE,,6294,584,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,8,0,0,,,,,
1.76336E+12,44,/roller/roller-ui/menu.rol-348,200,OK,User1 2-2,text,TRUE,,6284,979,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76336E+12,69,/roller/roller_j_security_check-338,200,OK,User1 2-5,text,TRUE,,6553,1221,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,31,0,0,,,,,
1.76336E+12,37,/roller/roller-ui/menu.rol-348-1,200,OK,User1 2-2,text,TRUE,,6114,490,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,37,0,0,,,,,
1.76336E+12,38,/roller/roller_j_security_check-338-1,200,OK,User1 2-5,text,TRUE,,6294,584,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol?error=true,38,0,0,,,,,
1.76336E+12,38,/roller/-357,200,OK,User1 2-1,text,TRUE,,6552,452,7,7,http://172.26.129.146:8080/roller/,38,0,0,,,,,
1.76336E+12,46,/roller/roller-ui/menu.rol-343,200,OK,User1 2-3,text,TRUE,,6284,1001,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,6,0,0,,,,,
1.76336E+12,40,/roller/roller-ui/menu.rol-343-1,200,OK,User1 2-3,text,TRUE,,6114,501,7,7,http://172.26.129.146:8080/roller/roller-ui/login.rol,40,0,0,,,,,
