timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74E+12,107,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,1,7,http://172.26.129.206:8080/jforum/user/login.page,106,0,7,,
1.74E+12,13,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,2,11,http://172.26.129.206:8080/jforum/ping_session.jsp,13,0,0,,18644
1.74E+12,25,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,3,12,http://172.26.129.206:8080/jforum/user/login.page,25,0,10,,20150
1.74E+12,9,/jforum/ping_session.jsp-491,200,,Admin2 2-2,text,TRUE,,543,546,3,12,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,1080.776657
1.74E+12,36,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,4,14,http://172.26.129.206:8080/jforum/user/login.page,36,0,7,,
1.74E+12,10,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,5,15,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,
1.74E+12,191,/jforum/jforum.page-127,200,,Admin 1-6,text,TRUE,,28481,1793,10,15,http://172.26.129.206:8080/jforum/forums/list.page,15,0,7,,
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-6,,TRUE,,221,413,10,15,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-6,,TRUE,,155,454,10,15,http://172.26.129.206:8080/jforum,8,0,0,,
1.74E+12,97,/jforum/jforum.page-127-2,301,,Admin 1-6,text,TRUE,,166,455,10,15,http://172.26.129.206:8080/jforum/,97,0,0,,
1.74E+12,71,/jforum/jforum.page-127-3,200,,Admin 1-6,text,TRUE,,27939,471,10,15,http://172.26.129.206:8080/jforum/forums/list.page,58,0,6,,
1.74E+12,23,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,5,15,http://172.26.129.206:8080/jforum/user/login.page,23,0,11,,
1.74E+12,391,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,28450,1793,10,15,http://172.26.129.206:8080/jforum/forums/list.page,17,0,8,,
1.74E+12,17,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,10,15,http://172.26.129.206:8080/jforum/jforum.page,17,0,8,,
1.74E+12,300,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,10,15,http://172.26.129.206:8080/jforum,300,0,0,,
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,166,455,10,15,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74E+12,65,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,27908,471,10,15,http://172.26.129.206:8080/jforum/forums/list.page,51,0,7,,
1.74E+12,72,/jforum/jforum.page-127,200,,Admin 1-8,text,TRUE,,28481,1793,10,15,http://172.26.129.206:8080/jforum/forums/list.page,14,0,7,,
1.74E+12,14,/jforum/jforum.page-127-0,302,,Admin 1-8,,TRUE,,221,413,10,15,http://172.26.129.206:8080/jforum/jforum.page,14,0,7,,
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-8,,TRUE,,155,454,10,15,http://172.26.129.206:8080/jforum,8,0,0,,
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-8,text,TRUE,,166,455,10,15,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74E+12,42,/jforum/jforum.page-127-3,200,,Admin 1-8,text,TRUE,,27939,471,10,15,http://172.26.129.206:8080/jforum/forums/list.page,29,0,6,,
1.74E+12,312,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,28450,1793,10,15,http://172.26.129.206:8080/jforum/forums/list.page,17,0,8,,
1.74E+12,17,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,10,15,http://172.26.129.206:8080/jforum/jforum.page,17,0,8,,
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,10,15,http://172.26.129.206:8080/jforum,9,0,0,,
1.74E+12,247,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,166,455,10,15,http://172.26.129.206:8080/jforum/,247,0,0,,
1.74E+12,39,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,27908,471,10,15,http://172.26.129.206:8080/jforum/forums/list.page,27,0,6,,
1.74E+12,66,/jforum/jforum.page-492,200,,Admin2 2-1,text,TRUE,,42790,1625,5,15,http://172.26.129.206:8080/jforum/forums/list.page?OWASP_CSRFTOKEN=OS2G-V3XX-M2HS-MI6D-B2OB-1OHN-91V6-IX45,17,0,0,,
