timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Type,Elapsed,Latency
1.74E+12,83,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,13002,1793,4,4,http://172.26.129.206:8080/jforum/forums/list.page,21,0,7,,,,,/jforum/-,Type1,Type38,168.3133333,143.36
1.74E+12,21,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,4,4,http://172.26.129.206:8080/jforum/jforum.page,21,0,7,,21959,,,/jforum/admBase/login,Type2,Type38,177.32,132.1
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,4,4,http://172.26.129.206:8080/jforum,8,0,0,,20150,,,/jforum/admBase/main,Type3,Type38,358.608,256.576
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,166,455,4,4,http://172.26.129.206:8080/jforum/,8,0,0,,917.6191994,,,/jforum/admBase/menu,Type4,Type38,114.61,88.28
1.74E+12,46,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,12460,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,44,0,6,,,,,/jforum/adminAttachments/configurations,Type5,Type38,93.28,76.68
1.74E+12,79,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,13002,1793,4,4,http://172.26.129.206:8080/jforum/forums/list.page,21,0,7,,,,,/jforum/adminAttachments/extension,Type6,Type38,68.56,42.38
1.74E+12,21,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,4,4,http://172.26.129.206:8080/jforum/jforum.page,21,0,7,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type38,71.44,49.82
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,4,4,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminBanner/list,Type8,Type38,45.92,31.4
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,166,455,4,4,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/adminBanning/insert,Type9,Type38,119.84,64.04
1.74E+12,41,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,12460,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,39,0,7,,,,,/jforum/adminBanning/list,Type10,Type38,105.56,76.42
