timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Type,Elapsed,Response Time
1.74E+12,59,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,16449,1788,2,2,http://172.26.129.206:8080/jforum/install.jsp,18,0,8,,17202,,,/jforum/-,Type1,Type38,148.7933333,112.8266667
1.74E+12,18,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,2,2,http://172.26.129.206:8080/jforum/jforum.page,18,0,8,,25200,,,/jforum/admBase/login,Type2,Type38,87.87333333,62.20666667
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,2,2,http://172.26.129.206:8080/jforum,9,0,0,,1464.945937,,,/jforum/admBase/main,Type3,Type38,102.4145299,62.04273504
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,2,2,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/admBase/menu,Type4,Type38,130.24,78.7825
1.74E+12,24,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,15912,466,2,2,http://172.26.129.206:8080/jforum/install.jsp,19,0,7,,,,,/jforum/adminAttachments/configurations,Type5,Type38,50.33333333,33.03030303
1.74E+12,34,/jforum/-129,200,,Admin 1-1,text,TRUE,,16073,977,3,3,http://172.26.129.206:8080/jforum/install.jsp,9,0,0,,,,,/jforum/adminAttachments/extension,Type6,Type1,36.7826087,24.78804348
1.74E+12,9,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,161,511,3,3,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type1,43.25,25.23148148
1.74E+12,25,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,15912,466,3,3,http://172.26.129.206:8080/jforum/install.jsp,19,0,6,,,,,/jforum/adminBanner/list,Type8,Type1,#DIV/0!,#DIV/0!
1.74E+12,57,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,16449,1788,3,3,http://172.26.129.206:8080/jforum/install.jsp,16,0,7,,,,,/jforum/adminBanning/insert,Type9,Type38,39.91304348,26.54347826
1.74E+12,16,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,3,3,http://172.26.129.206:8080/jforum/jforum.page,16,0,7,,,,,/jforum/adminBanning/list,Type10,Type38,54.94444444,38.6
1.74E+12,10,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,3,3,http://172.26.129.206:8080/jforum,10,0,0,,,,,/jforum/adminBoardStats/,Type11,Type38,53.78846154,33.37637363
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,161,455,3,3,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/adminCache/list,Type12,Type38,#DIV/0!,#DIV/0!
1.74E+12,22,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,15912,466,3,3,http://172.26.129.206:8080/jforum/install.jsp,17,0,7,,,,,/jforum/adminConfig/,Type13,Type38,64.21551724,39.33189655
1.74E+12,30,/jforum/-129,200,,Admin 1-2,text,TRUE,,16073,977,4,4,http://172.26.129.206:8080/jforum/install.jsp,8,0,0,,,,,/jforum/adminForums/edit/,Type14,Type1,111.79,74.205
1.74E+12,35,/jforum/forums/list.page-130,200,,Admin 1-1,text,TRUE,,27908,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,27,0,0,,,,,/jforum/adminForums/insert,Type15,Type32,70.02,47.75
1.74E+12,8,/jforum/-129-0,301,,Admin 1-2,text,TRUE,,161,511,4,4,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,/jforum/adminForums/list,Type16,Type1,102.9733333,65.26333333
1.74E+12,22,/jforum/-129-1,200,,Admin 1-2,text,TRUE,,15912,466,4,4,http://172.26.129.206:8080/jforum/install.jsp,16,0,6,,,,,/jforum/adminGroups/edit/,Type17,Type1,71.085,44.375
1.74E+12,54,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,16449,1788,4,4,http://172.26.129.206:8080/jforum/install.jsp,15,0,6,,,,,/jforum/adminGroups/insert,Type18,Type38,80.65,47.1
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,4,4,http://172.26.129.206:8080/jforum/jforum.page,15,0,6,,,,,/jforum/adminGroups/list,Type19,Type38,72.76,49.67
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,4,4,http://172.26.129.206:8080/jforum,9,0,0,,,,,/jforum/adminGroups/permissions/2,Type20,Type38,64.98,44.18
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,161,455,4,4,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/adminModeration/list,Type21,Type38,73.86,44.865
1.74E+12,22,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,15912,466,4,4,http://172.26.129.206:8080/jforum/install.jsp,16,0,7,,,,,/jforum/adminRankings/insert,Type22,Type38,46.71,33.155
1.74E+12,10,/jforum/ping_session.jsp-133,200,,Admin 1-1,text,TRUE,,543,527,4,4,http://172.26.129.206:8080/jforum/ping_session.jsp,10,0,0,,,,,/jforum/adminRankings/list,Type23,Type41,67.97,37.785
1.74E+12,12,/jforum/user/login.page-134,200,,Admin 1-1,text,TRUE,,6247,529,4,4,http://172.26.129.206:8080/jforum/user/login.page,10,0,0,,,,,/jforum/adminRegEmail/list,Type24,Type60,93.03529412,57.35294118
1.74E+12,24,/jforum/forums/list.page-130,200,,Admin 1-2,text,TRUE,,27908,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,16,0,0,,,,,/jforum/adminSearchStats/list,Type25,Type32,62.08333333,33.83333333
1.74E+12,9,/jforum/ping_session.jsp-135,200,,Admin 1-1,text,TRUE,,543,526,5,5,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/adminSmilies/list,Type26,Type41,78.26923077,44.01923077
1.74E+12,9,/jforum/ping_session.jsp-133,200,,Admin 1-2,text,TRUE,,543,527,5,5,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/adminSpamBlock/list,Type27,Type41,47.09615385,29.55128205
1.74E+12,32,/jforum/-129,200,,Admin 1-3,text,TRUE,,16073,977,5,5,http://172.26.129.206:8080/jforum/install.jsp,9,0,0,,,,,/jforum/adminUsers/pendingActivations,Type28,Type1,116.495,68.65
1.74E+12,9,/jforum/-129-0,301,,Admin 1-3,text,TRUE,,161,511,5,5,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,,,,/jforum/bookmarks/insert/,Type29,Type1,91.42857143,90.85714286
1.74E+12,23,/jforum/-129-1,200,,Admin 1-3,text,TRUE,,15912,466,5,5,http://172.26.129.206:8080/jforum/install.jsp,17,0,6,,,,,/jforum/bookmarks/list/,Type30,Type1,57.41333333,50.18666667
1.74E+12,54,/jforum/jforum.page-127,200,,Admin 1-4,text,TRUE,,16449,1788,5,5,http://172.26.129.206:8080/jforum/install.jsp,15,0,7,,,,,/jforum/captcha/generate/,Type31,Type38,79.86055777,79.33864542
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-4,,TRUE,,221,413,5,5,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,,,,/jforum/forums/list,Type32,Type38,104.438961,64.47272727
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-4,,TRUE,,155,454,5,5,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/forums/newMessages,Type33,Type38,30.84,29.8
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-4,text,TRUE,,161,455,5,5,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/forums/show/,Type34,Type38,88.09063444,77.10574018
1.74E+12,23,/jforum/jforum.page-127-3,200,,Admin 1-4,text,TRUE,,15912,466,5,5,http://172.26.129.206:8080/jforum/install.jsp,17,0,7,,,,,/jforum/forums/watchForum/,Type35,Type38,79.88,79.84
1.74E+12,12,/jforum/user/login.page-134,200,,Admin 1-2,text,TRUE,,6247,529,5,5,http://172.26.129.206:8080/jforum/user/login.page,10,0,0,,,,,/jforum/hottestTopics/list,Type36,Type60,53.375,51.61842105
1.74E+12,8,/jforum/ping_session.jsp-135,200,,Admin 1-2,text,TRUE,,543,526,5,5,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,/jforum/images/,Type37,Type41,35.32133995,35.29404467
1.74E+12,26,/jforum/forums/list.page-143,200,,Admin 1-1,text,TRUE,,27908,525,5,5,http://172.26.129.206:8080/jforum/forums/list.page,18,0,0,,,,,/jforum/jforum,Type38,Type32,150.7589505,94.45586226
1.74E+12,23,/jforum/forums/list.page-130,200,,Admin 1-3,text,TRUE,,27908,471,5,5,http://172.26.129.206:8080/jforum/forums/list.page,15,0,0,,,,,/jforum/js/list/moderation,Type39,Type32,62.44444444,62.25641026
1.74E+12,8,/jforum/ping_session.jsp-133,200,,Admin 1-3,text,TRUE,,543,527,6,6,http://172.26.129.206:8080/jforum/ping_session.jsp,8,0,0,,,,,/jforum/moderation/showActivityLog,Type40,Type41,114.24,65.448
1.74E+12,32,/jforum/-129,200,,Admin 1-4,text,TRUE,,16073,977,6,6,http://172.26.129.206:8080/jforum/install.jsp,9,0,0,,,,,/jforum/ping_session,Type41,Type1,47.64897698,47.46163683
1.74E+12,9,/jforum/-129-0,301,,Admin 1-4,text,TRUE,,161,511,6,6,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,,,,/jforum/pm/findUser,Type42,Type1,47.390625,47.34375
1.74E+12,23,/jforum/-129-1,200,,Admin 1-4,text,TRUE,,15912,466,6,6,http://172.26.129.206:8080/jforum/install.jsp,16,0,7,,,,,/jforum/pm/inbox,Type43,Type1,63.61585366,62.62804878
1.74E+12,16,/jforum/jforum.page-139,200,,Admin 1-1,text,TRUE,,6379,842,6,6,http://172.26.129.206:8080/jforum/jforum.page,15,0,0,,,,,/jforum/pm/send,Type44,Type38,60.59375,59.71875
1.74E+12,24,/jforum/forums/list.page-143,200,,Admin 1-2,text,TRUE,,27908,525,6,6,http://172.26.129.206:8080/jforum/forums/list.page,16,0,0,,,,,/jforum/posts/edit/,Type45,Type32,61.83333333,61.5
1.74E+12,12,/jforum/user/login.page-134,200,,Admin 1-3,text,TRUE,,6247,529,6,6,http://172.26.129.206:8080/jforum/user/login.page,10,0,0,,,,,/jforum/posts/insert/,Type46,Type60,79.59493671,78.49367089
1.74E+12,56,/jforum/jforum.page-127,200,,Admin 1-5,text,TRUE,,16449,1788,6,6,http://172.26.129.206:8080/jforum/install.jsp,16,0,7,,,,,/jforum/posts/list/,Type47,Type38,78.22007722,67.79150579
1.74E+12,16,/jforum/jforum.page-127-0,302,,Admin 1-5,,TRUE,,221,413,6,6,http://172.26.129.206:8080/jforum/jforum.page,16,0,7,,,,,/jforum/posts/listByUser/,Type48,Type38,56.60736196,48.18404908
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-5,,TRUE,,155,454,6,6,http://172.26.129.206:8080/jforum,9,0,0,,,,,/jforum/posts/preList/,Type49,Type38,108.04,83.30666667
1.74E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-5,text,TRUE,,161,455,6,6,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/posts/reply/,Type50,Type38,58.59,53.59
1.74E+12,23,/jforum/jforum.page-127-3,200,,Admin 1-5,text,TRUE,,15912,466,6,6,http://172.26.129.206:8080/jforum/install.jsp,17,0,8,,,,,/jforum/posts/review/,Type51,Type38,55.82905983,54.98290598
1.74E+12,9,/jforum/ping_session.jsp-140,200,,Admin 1-1,text,TRUE,,543,522,6,6,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/posts/watch/,Type52,Type41,59.85106383,59.38297872
1.74E+12,9,/jforum/ping_session.jsp-135,200,,Admin 1-3,text,TRUE,,543,526,6,7,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/recentTopics/list,Type53,Type41,54.72560976,52.06097561
1.74E+12,15,/jforum/jforum.page-139,200,,Admin 1-2,text,TRUE,,6379,842,6,7,http://172.26.129.206:8080/jforum/jforum.page,14,0,0,,,,,/jforum/templates/default/,Type54,Type38,52.31108462,47.488677
1.74E+12,14,/jforum/jforum.page-141,200,,Admin 1-1,text,TRUE,,6379,837,6,7,http://172.26.129.206:8080/jforum/jforum.page,13,0,0,,,,,/jforum/topDownloads/list,Type55,Type38,72.44615385,71.38461538
1.74E+12,24,/jforum/forums/list.page-130,200,,Admin 1-4,text,TRUE,,27908,471,6,7,http://172.26.129.206:8080/jforum/forums/list.page,16,0,0,,,,,/jforum/user/acceptAgreement,Type56,Type32,104.9333333,60.02222222
1.74E+12,92,/jforum/templates/default/images/icon_mini_members.gif-146,200,,Admin 1-1,bin,TRUE,,468,490,6,7,http://172.26.129.206:8080/jforum/templates/default/images/icon_mini_members.gif,92,0,0,,,,,/jforum/user/edit/,Type57,Type54,42.58666667,41.84
1.74E+12,92,/jforum/ping_session.jsp-133,200,,Admin 1-4,text,TRUE,,543,527,6,7,http://172.26.129.206:8080/jforum/ping_session.jsp,92,0,0,,,,,/jforum/user/insert,Type58,Type41,104.3942857,99.36571429
1.74E+12,94,/jforum/ping_session.jsp-140,200,,Admin 1-2,text,TRUE,,543,522,6,7,http://172.26.129.206:8080/jforum/ping_session.jsp,94,0,0,,,,,/jforum/user/list,Type59,Type41,114.272,67.976
1.74E+12,101,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,1,7,http://172.26.129.206:8080/jforum/user/login.page,101,0,7,,,,,/jforum/user/login,Type60,Type60,87.3852459,83.31967213
1.74E+12,98,/jforum/forums/list.page-143,200,,Admin 1-3,text,TRUE,,27908,525,6,7,http://172.26.129.206:8080/jforum/forums/list.page,98,0,0,,,,,/jforum/user/logout,Type61,Type32,79.671875,41.80729167
1.74E+12,11,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,1,10,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,/jforum/user/profile/,Type62,Type41,74.33333333,73.30666667
