timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Types,Elapsed,Latency
1.74E+12,162,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,1235,1788,5,5,http://172.26.129.206:8080/jforum/install.jsp,100,0,7,,53693,,,/jforum/-,Type1,Type38,195.76,128.3066667
1.74E+12,100,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,5,5,http://172.26.129.206:8080/jforum/jforum.page,100,0,7,,20150,,,/jforum/admBase/login,Type2,Type38,722.41,722.36
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,5,5,http://172.26.129.206:8080/jforum,8,0,0,,375.2816941,,,/jforum/admBase/main,Type3,Type38,1041.832,955.52
1.74E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,5,5,http://172.26.129.206:8080/jforum/,12,0,0,,,,,/jforum/admBase/menu,Type4,Type38,757.58,757.3
1.74E+12,42,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,698,466,5,5,http://172.26.129.206:8080/jforum/install.jsp,42,0,9,,,,,/jforum/adminAttachments/configurations,Type5,Type38,536.2,535.56
1.74E+12,147,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,1235,1788,5,6,http://172.26.129.206:8080/jforum/install.jsp,91,0,7,,,,,/jforum/adminAttachments/extension,Type6,Type38,423.47,423.25
1.74E+12,91,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,5,6,http://172.26.129.206:8080/jforum/jforum.page,91,0,7,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type38,532.56,532
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,5,6,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminBanner/list,Type8,Type38,390.88,390.84
1.74E+12,10,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,161,455,5,6,http://172.26.129.206:8080/jforum/,10,0,0,,,,,/jforum/adminBanning/insert,Type9,Type38,648.96,648.84
1.74E+12,38,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,698,466,5,6,http://172.26.129.206:8080/jforum/install.jsp,38,0,7,,,,,/jforum/adminBanning/list,Type10,Type38,655.84,655.8
1.74E+12,132,/jforum/-129,200,,Admin 1-1,text,TRUE,,859,977,6,7,http://172.26.129.206:8080/jforum/install.jsp,11,0,0,,,,,/jforum/adminBoardStats/,Type11,Type1,705.61,702.68
1.74E+12,11,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,161,511,6,7,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,11,0,0,,,,,/jforum/adminCache/list,Type12,Type1,384.08,384
1.74E+12,121,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,698,466,6,7,http://172.26.129.206:8080/jforum/install.jsp,121,0,7,,,,,/jforum/adminConfig/,Type13,Type1,2766.08,2747.32
1.74E+12,259,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,1235,1788,9,11,http://172.26.129.206:8080/jforum/install.jsp,91,0,9,,,,,/jforum/adminForums/edit/,Type14,Type38,889.32,882.1
1.74E+12,91,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,9,11,http://172.26.129.206:8080/jforum/jforum.page,91,0,9,,,,,/jforum/adminForums/insert,Type15,Type38,773.54,772.36
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,9,11,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminForums/list,Type16,Type38,841.0133333,840.96
1.74E+12,11,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,161,455,9,11,http://172.26.129.206:8080/jforum/,11,0,0,,,,,/jforum/adminGroups/edit/,Type17,Type38,652.74,652.64
1.74E+12,149,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,698,466,9,11,http://172.26.129.206:8080/jforum/install.jsp,149,0,108,,,,,/jforum/adminGroups/insert,Type18,Type38,607.76,607.72
