timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74217E+12,83,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,13002,1793,3,3,http://172.26.129.206:8080/jforum/forums/list.page,22,0,6,,23692
1.74217E+12,22,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,3,3,http://172.26.129.206:8080/jforum/jforum.page,22,0,6,,20150
1.74217E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,3,3,http://172.26.129.206:8080/jforum,8,0,0,,850.4980584
1.74217E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,166,455,3,3,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74217E+12,45,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,12460,471,3,3,http://172.26.129.206:8080/jforum/forums/list.page,43,0,6,,
1.74217E+12,81,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,13002,1793,3,3,http://172.26.129.206:8080/jforum/forums/list.page,21,0,7,,
1.74217E+12,21,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,3,3,http://172.26.129.206:8080/jforum/jforum.page,21,0,7,,
1.74217E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,3,3,http://172.26.129.206:8080/jforum,7,0,0,,
1.74217E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,166,455,3,3,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74217E+12,45,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,12460,471,3,3,http://172.26.129.206:8080/jforum/forums/list.page,43,0,7,,
1.74217E+12,50,/jforum/-129,200,,Admin 1-1,text,TRUE,,12626,982,4,4,http://172.26.129.206:8080/jforum/forums/list.page,9,0,0,,
1.74217E+12,9,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,166,511,4,4,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,9,0,0,,
1.74217E+12,41,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,12460,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,39,0,6,,
