timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74218E+12,71,/jforum/jforum.page-127,200,,Admin 1-5,text,TRUE,,22312,1793,6,6,http://172.26.129.206:8080/jforum/forums/list.page,17,0,8,,35826
1.74218E+12,17,/jforum/jforum.page-127-0,302,,Admin 1-5,,TRUE,,221,413,6,6,http://172.26.129.206:8080/jforum/jforum.page,17,0,8,,20150
1.74218E+12,15,/jforum/jforum.page-127-1,302,,Admin 1-5,,TRUE,,155,454,6,6,http://172.26.129.206:8080/jforum,15,0,0,,562.4406855
1.74218E+12,9,/jforum/jforum.page-127-2,301,,Admin 1-5,text,TRUE,,166,455,6,6,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74218E+12,30,/jforum/jforum.page-127-3,200,,Admin 1-5,text,TRUE,,21770,471,6,6,http://172.26.129.206:8080/jforum/forums/list.page,22,0,6,,
1.74218E+12,106,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,1,8,http://172.26.129.206:8080/jforum/user/login.page,106,0,6,,
1.74218E+12,147,/jforum/jforum.page-127,200,,Admin 1-6,text,TRUE,,22312,1793,7,8,http://172.26.129.206:8080/jforum/forums/list.page,15,0,7,,
1.74218E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-6,,TRUE,,221,413,7,8,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,
1.74218E+12,6,/jforum/jforum.page-127-1,302,,Admin 1-6,,TRUE,,155,454,7,8,http://172.26.129.206:8080/jforum,6,0,0,,
1.74218E+12,10,/jforum/jforum.page-127-2,301,,Admin 1-6,text,TRUE,,166,455,7,8,http://172.26.129.206:8080/jforum/,10,0,0,,
1.74218E+12,115,/jforum/jforum.page-127-3,200,,Admin 1-6,text,TRUE,,21770,471,7,8,http://172.26.129.206:8080/jforum/forums/list.page,115,0,6,,
