timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,Type,Elapsed,Latency
1.74E+12,173,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,1235,1788,5,5,http://172.26.129.206:8080/jforum/install.jsp,91,0,8,,53665,,,/jforum/-,Type1,Type38,151.2066667,101.5866667
1.74E+12,91,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,5,5,http://172.26.129.206:8080/jforum/jforum.page,91,0,8,,20150,,,/jforum/admBase/login,Type2,Type38,850.49,850.29
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,5,5,http://172.26.129.206:8080/jforum,8,0,0,,375.4774993,,,/jforum/admBase/main,Type3,Type38,1202.552,1104.832
1.74E+12,14,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,5,5,http://172.26.129.206:8080/jforum/,14,0,0,,,,,/jforum/admBase/menu,Type4,Type38,780.14,779.91
1.74E+12,59,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,698,466,5,5,http://172.26.129.206:8080/jforum/install.jsp,59,0,14,,,,,/jforum/adminAttachments/configurations,Type5,Type38,447.1,446.64
1.74E+12,170,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,1235,1788,6,6,http://172.26.129.206:8080/jforum/install.jsp,101,0,13,,,,,/jforum/adminAttachments/extension,Type6,Type38,386.82,386.5
1.74E+12,101,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,6,6,http://172.26.129.206:8080/jforum/jforum.page,101,0,13,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type38,413.92,413.46
1.74E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,6,6,http://172.26.129.206:8080/jforum,9,0,0,,,,,/jforum/adminBanner/list,Type8,Type38,357.92,357.84
1.74E+12,13,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,161,455,6,6,http://172.26.129.206:8080/jforum/,13,0,0,,,,,/jforum/adminBanning/insert,Type9,Type38,734.52,734.44
1.74E+12,47,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,698,466,6,6,http://172.26.129.206:8080/jforum/install.jsp,47,0,10,,,,,/jforum/adminBanning/list,Type10,Type38,736.72,736.62
1.74E+12,60,/jforum/-129,200,,Admin 1-1,text,TRUE,,859,977,6,6,http://172.26.129.206:8080/jforum/install.jsp,16,0,0,,,,,/jforum/adminBoardStats/,Type11,Type1,693.58,689.31
1.74E+12,16,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,161,511,6,6,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,16,0,0,,,,,/jforum/adminCache/list,Type12,Type1,361.84,361.56
1.74E+12,44,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,698,466,6,6,http://172.26.129.206:8080/jforum/install.jsp,44,0,7,,,,,/jforum/adminConfig/,Type13,Type1,528.72,521.04
1.74E+12,162,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,1235,1788,7,7,http://172.26.129.206:8080/jforum/install.jsp,99,0,7,,,,,/jforum/adminForums/edit/,Type14,Type38,907.02,892.32
1.74E+12,99,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,7,7,http://172.26.129.206:8080/jforum/jforum.page,99,0,7,,,,,/jforum/adminForums/insert,Type15,Type38,760.24,759.2
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,7,7,http://172.26.129.206:8080/jforum,7,0,0,,,,,/jforum/adminForums/list,Type16,Type38,777.96,777.6133333
