timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74216E+12,119,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,2,9,http://172.26.129.206:8080/jforum/user/login.page,119,0,7,,55635
1.74216E+12,17,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,2,11,http://172.26.129.206:8080/jforum/ping_session.jsp,17,0,0,,20150
1.74216E+12,210,/jforum/jforum.page-127,200,,Admin 1-5,text,TRUE,,1235,1788,10,13,http://172.26.129.206:8080/jforum/install.jsp,144,0,7,,362.1820796
1.74216E+12,251,/jforum/jforum.page-127,200,,Admin 1-4,text,TRUE,,1235,1788,10,13,http://172.26.129.206:8080/jforum/install.jsp,184,0,7,,
1.74216E+12,184,/jforum/jforum.page-127-0,302,,Admin 1-4,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,184,0,7,,
1.74216E+12,144,/jforum/jforum.page-127-0,302,,Admin 1-5,,TRUE,,221,413,10,13,http://172.26.129.206:8080/jforum/jforum.page,144,0,7,,
1.74216E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-4,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,9,0,0,,
1.74216E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-5,,TRUE,,155,454,10,13,http://172.26.129.206:8080/jforum,7,0,0,,
1.74216E+12,13,/jforum/jforum.page-127-2,301,,Admin 1-4,text,TRUE,,161,455,10,13,http://172.26.129.206:8080/jforum/,12,0,0,,
1.74216E+12,11,/jforum/jforum.page-127-2,301,,Admin 1-5,text,TRUE,,161,455,10,13,http://172.26.129.206:8080/jforum/,11,0,0,,
1.74216E+12,45,/jforum/jforum.page-127-3,200,,Admin 1-4,text,TRUE,,698,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,44,0,7,,
1.74216E+12,44,/jforum/jforum.page-127-3,200,,Admin 1-5,text,TRUE,,698,466,10,13,http://172.26.129.206:8080/jforum/install.jsp,44,0,7,,
1.74216E+12,56,/jforum/-129,200,,Admin 1-4,text,TRUE,,859,977,11,17,http://172.26.129.206:8080/jforum/install.jsp,14,0,0,,
1.74216E+12,14,/jforum/-129-0,301,,Admin 1-4,text,TRUE,,161,511,11,17,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,14,0,0,,
1.74216E+12,42,/jforum/-129-1,200,,Admin 1-4,text,TRUE,,698,466,11,17,http://172.26.129.206:8080/jforum/install.jsp,42,0,7,,
1.74216E+12,56,/jforum/-129,200,,Admin 1-5,text,TRUE,,859,977,11,17,http://172.26.129.206:8080/jforum/install.jsp,12,0,0,,
1.74216E+12,12,/jforum/-129-0,301,,Admin 1-5,text,TRUE,,161,511,11,17,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,12,0,0,,
1.74216E+12,44,/jforum/-129-1,200,,Admin 1-5,text,TRUE,,698,466,11,17,http://172.26.129.206:8080/jforum/install.jsp,44,0,7,,
1.74216E+12,147,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,7,19,http://172.26.129.206:8080/jforum/user/login.page,147,0,7,,
1.74216E+12,473,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,1235,1788,12,20,http://172.26.129.206:8080/jforum/install.jsp,154,0,12,,
1.74216E+12,154,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,12,20,http://172.26.129.206:8080/jforum/jforum.page,154,0,12,,
1.74216E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,12,20,http://172.26.129.206:8080/jforum,8,0,0,,
1.74216E+12,17,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,12,20,http://172.26.129.206:8080/jforum/,17,0,0,,
1.74216E+12,292,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,698,466,12,20,http://172.26.129.206:8080/jforum/install.jsp,292,0,6,,
1.74216E+12,437,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,1235,1788,13,21,http://172.26.129.206:8080/jforum/install.jsp,123,0,7,,
