timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74216E+12,71,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,15328,1793,2,2,http://172.26.129.206:8080/jforum/forums/list.page,15,0,6,,
1.74216E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,2,2,http://172.26.129.206:8080/jforum/jforum.page,15,0,6,,33582
1.74216E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,2,2,http://172.26.129.206:8080/jforum,7,0,0,,20150
1.74216E+12,20,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,166,455,2,2,http://172.26.129.206:8080/jforum/,20,0,0,,600.0238223
1.74216E+12,29,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,14786,471,2,2,http://172.26.129.206:8080/jforum/forums/list.page,22,0,7,,
1.74216E+12,104,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,15328,1793,4,5,http://172.26.129.206:8080/jforum/forums/list.page,15,0,7,,
1.74216E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,4,5,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,
1.74216E+12,9,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,4,5,http://172.26.129.206:8080/jforum,9,0,0,,
1.74216E+12,8,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,166,455,4,5,http://172.26.129.206:8080/jforum/,8,0,0,,
1.74216E+12,72,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,14786,471,4,5,http://172.26.129.206:8080/jforum/forums/list.page,72,0,7,,
1.74216E+12,79,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,1,6,http://172.26.129.206:8080/jforum/user/login.page,79,0,67,,
1.74216E+12,134,/jforum/-129,200,,Admin 1-1,text,TRUE,,14952,982,6,7,http://172.26.129.206:8080/jforum/forums/list.page,42,0,0,,
1.74216E+12,42,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,166,511,6,7,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,42,0,0,,
1.74216E+12,92,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,14786,471,6,7,http://172.26.129.206:8080/jforum/forums/list.page,86,0,7,,
