timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,,elapsed,latency
1.74E+12,60,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,17660,1793,2,2,http://172.26.129.206:8080/jforum/forums/list.page,15,0,7,,41889,,,/jforum/-,Type1,Type38,163.0866667,122.94
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,2,2,http://172.26.129.206:8080/jforum/jforum.page,15,0,7,,20150,,,/jforum/admBase/login,Type2,Type38,125.09,124.85
1.74E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,2,2,http://172.26.129.206:8080/jforum,7,0,0,,481.0332068,,,/jforum/admBase/main,Type3,Type38,691.528,386.536
1.74E+12,9,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,166,455,2,2,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/admBase/menu,Type4,Type38,104.41,99.67
1.74E+12,28,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,17118,471,2,2,http://172.26.129.206:8080/jforum/forums/list.page,22,0,5,,,,,/jforum/adminAttachments/configurations,Type5,Type38,57.7,56.82
1.74E+12,35,/jforum/-129,200,,Admin 1-1,text,TRUE,,17284,982,3,3,http://172.26.129.206:8080/jforum/forums/list.page,7,0,0,,,,,/jforum/adminAttachments/extension,Type6,Type1,39.47,39.01
1.74E+12,7,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,166,511,3,3,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,7,0,0,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type1,66.72,66.32
1.74E+12,28,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,17118,471,3,3,http://172.26.129.206:8080/jforum/forums/list.page,22,0,6,,,,,/jforum/adminBanner/list,Type8,Type1,16.16,16.12
1.74E+12,58,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,17660,1793,3,3,http://172.26.129.206:8080/jforum/forums/list.page,14,0,6,,,,,/jforum/adminBanning/insert,Type9,Type38,84.84,84.16
1.74E+12,14,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,3,3,http://172.26.129.206:8080/jforum/jforum.page,14,0,6,,,,,/jforum/adminBanning/list,Type10,Type38,97.76,97.7
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,3,3,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminBoardStats/,Type11,Type38,54.73,44.44
1.74E+12,7,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,166,455,3,3,http://172.26.129.206:8080/jforum/,7,0,0,,,,,/jforum/adminCache/list,Type12,Type38,37.16,36.96
1.74E+12,29,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,17118,471,3,3,http://172.26.129.206:8080/jforum/forums/list.page,23,0,6,,,,,/jforum/adminConfig/,Type13,Type38,111.3866667,86.78666667
1.74E+12,31,/jforum/forums/list.page-130,200,,Admin 1-1,text,TRUE,,17118,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,15,0,0,,,,,/jforum/adminForums/edit/,Type14,Type32,144.12,137.8
1.74E+12,37,/jforum/-129,200,,Admin 1-2,text,TRUE,,17284,982,4,4,http://172.26.129.206:8080/jforum/forums/list.page,8,0,0,,,,,/jforum/adminForums/insert,Type15,Type1,85.72,84.52
1.74E+12,8,/jforum/-129-0,301,,Admin 1-2,text,TRUE,,166,511,4,4,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,8,0,0,,,,,/jforum/adminForums/list,Type16,Type1,99.41333333,98.57333333
1.74E+12,29,/jforum/-129-1,200,,Admin 1-2,text,TRUE,,17118,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,23,0,8,,,,,/jforum/adminGroups/edit/,Type17,Type1,67.16,66.84
1.74E+12,11,/jforum/ping_session.jsp-133,200,,Admin 1-1,text,TRUE,,543,527,4,4,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,/jforum/adminGroups/insert,Type18,Type41,60.36,60.32
1.74E+12,71,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,17660,1793,4,4,http://172.26.129.206:8080/jforum/forums/list.page,15,0,6,,,,,/jforum/adminGroups/list,Type19,Type38,104.88,104.8
1.74E+12,15,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,4,4,http://172.26.129.206:8080/jforum/jforum.page,15,0,6,,,,,/jforum/adminGroups/permissions/2,Type20,Type38,102.56,92.24
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,4,4,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminModeration/list,Type21,Type38,39.58,39.38
1.74E+12,9,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,166,455,4,4,http://172.26.129.206:8080/jforum/,8,0,0,,,,,/jforum/adminRankings/insert,Type22,Type38,58.38,58.1
1.74E+12,39,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,17118,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,30,0,14,,,,,/jforum/adminRankings/list,Type23,Type38,104.24,104.18
1.74E+12,13,/jforum/user/login.page-134,200,,Admin 1-1,text,TRUE,,6247,529,4,4,http://172.26.129.206:8080/jforum/user/login.page,13,0,0,,,,,/jforum/adminRegEmail/list,Type24,Type60,28.76,28.56
1.74E+12,23,/jforum/forums/list.page-130,200,,Admin 1-2,text,TRUE,,17118,471,4,4,http://172.26.129.206:8080/jforum/forums/list.page,16,0,0,,,,,/jforum/adminSearchStats/list,Type25,Type32,68.2,63.32
1.74E+12,11,/jforum/ping_session.jsp-135,200,,Admin 1-1,text,TRUE,,543,526,5,5,http://172.26.129.206:8080/jforum/ping_session.jsp,11,0,0,,,,,/jforum/adminSmilies/list,Type26,Type41,83.56,74.96
1.74E+12,9,/jforum/ping_session.jsp-133,200,,Admin 1-2,text,TRUE,,543,527,5,5,http://172.26.129.206:8080/jforum/ping_session.jsp,9,0,0,,,,,/jforum/adminSpamBlock/list,Type27,Type41,104.46,24.86
1.74E+12,12,/jforum/user/login.page-134,200,,Admin 1-2,text,TRUE,,6247,529,5,5,http://172.26.129.206:8080/jforum/user/login.page,11,0,0,,,,,/jforum/adminUsers/pendingActivations,Type28,Type60,97.5,96.96
1.74E+12,21,/jforum/forums/list.page-143,200,,Admin 1-1,text,TRUE,,17118,525,5,5,http://172.26.129.206:8080/jforum/forums/list.page,16,0,0,,,,,/jforum/bookmarks/insert/,Type29,Type32,78.7,75.48
1.74E+12,67,/jforum/jforum.page-127,200,,Admin 1-4,text,TRUE,,17660,1793,5,5,http://172.26.129.206:8080/jforum/forums/list.page,16,0,7,,,,,/jforum/bookmarks/list/,Type30,Type38,102.5733333,74.02666667
1.74E+12,16,/jforum/jforum.page-127-0,302,,Admin 1-4,,TRUE,,221,413,5,5,http://172.26.129.206:8080/jforum/jforum.page,16,0,7,,,,,/jforum/captcha/generate/,Type31,Type38,108.3418182,107.5672727
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-4,,TRUE,,155,454,5,5,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/forums/list,Type32,Type38,111.1271186,80.15254237
1.74E+12,10,/jforum/jforum.page-127-2,301,,Admin 1-4,text,TRUE,,166,455,5,5,http://172.26.129.206:8080/jforum/,9,0,0,,,,,/jforum/forums/newMessages,Type33,Type38,46.56,42.72
