timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,,,,Unique Request,Message Types,,elapsed,latency
1.74E+12,223,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,1235,1788,6,9,http://172.26.129.206:8080/jforum/install.jsp,142,0,6,,51906,,,/jforum/-,Type1,Type38,114.3266667,72.6
1.74E+12,142,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,6,9,http://172.26.129.206:8080/jforum/jforum.page,142,0,6,,20150,,,/jforum/admBase/login,Type2,Type38,766.93,766.88
1.74E+12,24,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,6,9,http://172.26.129.206:8080/jforum,24,0,0,,388.2017493,,,/jforum/admBase/main,Type3,Type38,1107.216,951.344
1.74E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,6,9,http://172.26.129.206:8080/jforum/,12,0,0,,,,,/jforum/admBase/menu,Type4,Type38,728.51,728.16
1.74E+12,45,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,698,466,6,9,http://172.26.129.206:8080/jforum/install.jsp,45,0,13,,,,,/jforum/adminAttachments/configurations,Type5,Type38,428.02,427.54
1.74E+12,182,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,1235,1788,6,9,http://172.26.129.206:8080/jforum/install.jsp,101,0,10,,,,,/jforum/adminAttachments/extension,Type6,Type38,368.12,367.84
1.74E+12,101,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,6,9,http://172.26.129.206:8080/jforum/jforum.page,101,0,10,,,,,/jforum/adminAttachments/quotaLimit,Type7,Type38,417.26,416.82
1.74E+12,24,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,6,9,http://172.26.129.206:8080/jforum,24,0,0,,,,,/jforum/adminBanner/list,Type8,Type38,264.68,264.64
1.74E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,161,455,6,9,http://172.26.129.206:8080/jforum/,12,0,0,,,,,/jforum/adminBanning/insert,Type9,Type38,678.36,678.12
1.74E+12,45,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,698,466,6,9,http://172.26.129.206:8080/jforum/install.jsp,45,0,13,,,,,/jforum/adminBanning/list,Type10,Type38,667.76,667.74
1.74E+12,156,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,3,10,http://172.26.129.206:8080/jforum/user/login.page,155,0,54,,,,,/jforum/adminBoardStats/,Type11,Type60,679.73,677.32
1.74E+12,115,/jforum/user/login.page-490,200,,Admin2 2-3,text,TRUE,,6785,552,5,12,http://172.26.129.206:8080/jforum/user/login.page,115,0,7,,,,,/jforum/adminCache/list,Type12,Type60,251.64,251.44
1.74E+12,189,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,5,12,http://172.26.129.206:8080/jforum/user/login.page,189,0,23,,,,,/jforum/adminConfig/,Type13,Type60,2482.106667,2467.506667
1.74E+12,35,/jforum/ping_session.jsp-491,200,,Admin2 2-2,text,TRUE,,543,546,7,18,http://172.26.129.206:8080/jforum/ping_session.jsp,35,0,0,,,,,/jforum/adminForums/edit/,Type14,Type41,1006.16,994.18
1.74E+12,35,/jforum/ping_session.jsp-491,200,,Admin2 2-3,text,TRUE,,543,546,7,18,http://172.26.129.206:8080/jforum/ping_session.jsp,35,0,0,,,,,/jforum/adminForums/insert,Type15,Type41,740.7,740.02
1.74E+12,118,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,7,18,http://172.26.129.206:8080/jforum/user/login.page,118,0,6,,,,,/jforum/adminForums/list,Type16,Type60,727.3066667,727.1866667
1.74E+12,20,/jforum/ping_session.jsp-491,200,,Admin2 2-5,text,TRUE,,543,546,8,19,http://172.26.129.206:8080/jforum/ping_session.jsp,20,0,0,,,,,/jforum/adminGroups/edit/,Type17,Type41,617.7,617.52
1.74E+12,178,/jforum/jforum.page-127,200,,Admin 1-7,text,TRUE,,1235,1788,11,22,http://172.26.129.206:8080/jforum/install.jsp,94,0,6,,,,,/jforum/adminGroups/insert,Type18,Type38,579.24,579.12
1.74E+12,220,/jforum/jforum.page-127,200,,Admin 1-6,text,TRUE,,1235,1788,11,22,http://172.26.129.206:8080/jforum/install.jsp,136,0,11,,,,,/jforum/adminGroups/list,Type19,Type38,667.68,667.52
1.74E+12,94,/jforum/jforum.page-127-0,302,,Admin 1-7,,TRUE,,221,413,11,22,http://172.26.129.206:8080/jforum/jforum.page,94,0,6,,,,,/jforum/adminGroups/permissions/2,Type20,Type38,622.8,612.96
1.74E+12,136,/jforum/jforum.page-127-0,302,,Admin 1-6,,TRUE,,221,413,11,22,http://172.26.129.206:8080/jforum/jforum.page,136,0,11,,,,,/jforum/adminModeration/list,Type21,Type38,609.94,609.82
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-7,,TRUE,,155,454,11,22,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminRankings/insert,Type22,Type38,623.96,623.66
1.74E+12,8,/jforum/jforum.page-127-1,302,,Admin 1-6,,TRUE,,155,454,11,22,http://172.26.129.206:8080/jforum,8,0,0,,,,,/jforum/adminRankings/list,Type23,Type38,525.2,525.14
1.74E+12,27,/jforum/jforum.page-127-2,301,,Admin 1-7,text,TRUE,,161,455,11,22,http://172.26.129.206:8080/jforum/,27,0,0,,,,,/jforum/adminRegEmail/list,Type24,Type38,316,315.82
1.74E+12,27,/jforum/jforum.page-127-2,301,,Admin 1-6,text,TRUE,,161,455,11,22,http://172.26.129.206:8080/jforum/,27,0,0,,,,,/jforum/adminSearchStats/list,Type25,Type38,439.52,434.36
1.74E+12,49,/jforum/jforum.page-127-3,200,,Admin 1-7,text,TRUE,,698,466,11,22,http://172.26.129.206:8080/jforum/install.jsp,49,0,13,,,,,/jforum/adminSmilies/list,Type26,Type38,552.88,546.32
1.74E+12,49,/jforum/jforum.page-127-3,200,,Admin 1-6,text,TRUE,,698,466,11,22,http://172.26.129.206:8080/jforum/install.jsp,49,0,13,,,,,/jforum/adminSpamBlock/list,Type27,Type38,531.16,475.64
1.74E+12,117,/jforum/user/login.page-490,200,,Admin2 2-7,text,TRUE,,6785,552,10,26,http://172.26.129.206:8080/jforum/user/login.page,117,0,6,,,,,/jforum/adminUsers/pendingActivations,Type28,Type60,858.36,858.34
1.74E+12,192,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,10,26,http://172.26.129.206:8080/jforum/user/login.page,191,0,79,,,,,/jforum/bookmarks/insert/,Type29,Type60,852.54,852.06
1.74E+12,122,/jforum/user/login.page-490,200,,Admin2 2-6,text,TRUE,,6785,552,10,26,http://172.26.129.206:8080/jforum/user/login.page,121,0,7,,,,,/jforum/bookmarks/list/,Type30,Type60,805.12,778.24
1.74E+12,14,/jforum/ping_session.jsp-491,200,,Admin2 2-7,text,TRUE,,543,546,10,26,http://172.26.129.206:8080/jforum/ping_session.jsp,14,0,0,,,,,/jforum/captcha/generate/,Type31,Type41,719.4581818,719.3054545
1.74E+12,15,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,10,26,http://172.26.129.206:8080/jforum/ping_session.jsp,15,0,0,,,,,/jforum/forums/list,Type32,Type41,867.2147368,810.1515789
1.74E+12,227,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,10,26,http://172.26.129.206:8080/jforum/ping_session.jsp,227,0,0,,,,,/jforum/forums/newMessages,Type33,Type41,854.52,852.16
1.74E+12,14,/jforum/ping_session.jsp-491,200,,Admin2 2-6,text,TRUE,,543,546,10,26,http://172.26.129.206:8080/jforum/ping_session.jsp,14,0,0,,,,,/jforum/forums/show/,Type34,Type41,728.5386667,708.3946667
1.74E+12,120,/jforum/user/login.page-288,200,,user1 3-1,text,TRUE,,6785,532,3,28,http://172.26.129.206:8080/jforum/user/login.page,120,0,10,,,,,/jforum/forums/watchForum/,Type35,Type60,712.54,712.16
1.74E+12,67,/jforum/-129,200,,Admin 1-7,text,TRUE,,859,977,13,29,http://172.26.129.206:8080/jforum/install.jsp,17,0,0,,,,,/jforum/hottestTopics/list,Type36,Type1,579.124,577.736
