timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74E+12,819,/jforum/user/login.page-490,200,,Admin2 2-18,text,TRUE,,6785,552,25,113,http://172.26.129.206:8080/jforum/user/login.page,818,0,11,,
1.74E+12,983,/jforum/user/login.page-490,200,,Admin2 2-14,text,TRUE,,6785,552,25,113,http://172.26.129.206:8080/jforum/user/login.page,983,0,7,,63071
1.74E+12,1124,/jforum/user/login.page-490,200,,Admin2 2-6,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1124,0,7,,20150
1.74E+12,776,/jforum/user/insert.page-366,200,,user2 4-1,text,TRUE,,7082,533,20,114,http://172.26.129.206:8080/jforum/user/insert.page,776,0,6,,319.4812196
1.74E+12,985,/jforum/user/login.page-288,200,,user1 3-1,text,TRUE,,6785,532,25,114,http://172.26.129.206:8080/jforum/user/login.page,985,0,7,,
1.74E+12,1134,/jforum/user/login.page-490,200,,Admin2 2-10,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1134,0,7,,
1.74E+12,1120,/jforum/user/login.page-490,200,,Admin2 2-11,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1120,0,7,,
1.74E+12,867,/jforum/user/login.page-288,200,,user1 3-4,text,TRUE,,6785,532,25,114,http://172.26.129.206:8080/jforum/user/login.page,866,0,6,,
1.74E+12,1365,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1364,0,224,,
1.74E+12,1138,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1138,0,6,,
1.74E+12,869,/jforum/user/login.page-490,200,,Admin2 2-15,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,869,0,6,,
1.74E+12,1146,/jforum/user/login.page-490,200,,Admin2 2-7,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1145,0,7,,
1.74E+12,1143,/jforum/user/login.page-490,200,,Admin2 2-8,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1142,0,7,,
1.74E+12,1432,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,25,113,http://172.26.129.206:8080/jforum/user/login.page,1432,0,8,,
1.74E+12,1059,/jforum/user/login.page-490,200,,Admin2 2-12,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1057,0,7,,
1.74E+12,725,/jforum/user/insert.page-366,200,,user2 4-2,text,TRUE,,7082,533,20,114,http://172.26.129.206:8080/jforum/user/insert.page,723,0,21,,
1.74E+12,696,/jforum/user/login.page-288,200,,user1 3-8,text,TRUE,,6785,532,25,114,http://172.26.129.206:8080/jforum/user/login.page,694,0,6,,
1.74E+12,1499,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1497,0,7,,
1.74E+12,1418,/jforum/user/login.page-490,200,,Admin2 2-3,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,1416,0,7,,
1.74E+12,703,/jforum/user/login.page-288,200,,user1 3-5,text,TRUE,,6785,532,25,114,http://172.26.129.206:8080/jforum/user/login.page,701,0,6,,
1.74E+12,839,/jforum/user/login.page-490,200,,Admin2 2-16,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,838,0,6,,
1.74E+12,876,/jforum/user/login.page-490,200,,Admin2 2-17,text,TRUE,,6785,552,25,114,http://172.26.129.206:8080/jforum/user/login.page,875,0,13,,
1.74E+12,881,/jforum/user/login.page-288,200,,user1 3-3,text,TRUE,,6785,532,25,115,http://172.26.129.206:8080/jforum/user/login.page,881,0,7,,
1.74E+12,873,/jforum/user/login.page-490,200,,Admin2 2-13,text,TRUE,,6785,552,25,116,http://172.26.129.206:8080/jforum/user/login.page,873,0,8,,
1.74E+12,841,/jforum/user/login.page-288,200,,user1 3-7,text,TRUE,,6785,532,25,118,http://172.26.129.206:8080/jforum/user/login.page,840,0,17,,
1.74E+12,635,/jforum/user/insert.page-366,200,,user2 4-7,text,TRUE,,7082,533,22,118,http://172.26.129.206:8080/jforum/user/insert.page,635,0,6,,
1.74E+12,721,/jforum/user/login.page-490,200,,Admin2 2-23,text,TRUE,,6785,552,25,119,http://172.26.129.206:8080/jforum/user/login.page,720,0,7,,
1.74E+12,910,/jforum/user/login.page-490,200,,Admin2 2-19,text,TRUE,,6785,552,25,120,http://172.26.129.206:8080/jforum/user/login.page,909,0,14,,
1.74E+12,663,/jforum/user/login.page-490,200,,Admin2 2-25,text,TRUE,,6785,552,25,120,http://172.26.129.206:8080/jforum/user/login.page,662,0,6,,
1.74E+12,824,/jforum/user/insert.page-366,200,,user2 4-3,text,TRUE,,7082,533,23,120,http://172.26.129.206:8080/jforum/user/insert.page,824,0,82,,
1.74E+12,754,/jforum/user/insert.page-366,200,,user2 4-4,text,TRUE,,7082,533,24,121,http://172.26.129.206:8080/jforum/user/insert.page,754,0,6,,
1.74E+12,691,/jforum/user/login.page-288,200,,user1 3-12,text,TRUE,,6785,532,25,121,http://172.26.129.206:8080/jforum/user/login.page,690,0,7,,
1.74E+12,998,/jforum/user/login.page-288,200,,user1 3-2,text,TRUE,,6785,532,25,121,http://172.26.129.206:8080/jforum/user/login.page,998,0,7,,
1.74E+12,776,/jforum/user/insert.page-366,200,,user2 4-5,text,TRUE,,7082,533,24,122,http://172.26.129.206:8080/jforum/user/insert.page,775,0,7,,
1.74E+12,929,/jforum/user/login.page-490,200,,Admin2 2-20,text,TRUE,,6785,552,25,123,http://172.26.129.206:8080/jforum/user/login.page,927,0,20,,
1.74E+12,810,/jforum/user/login.page-288,200,,user1 3-6,text,TRUE,,6785,532,25,125,http://172.26.129.206:8080/jforum/user/login.page,809,0,6,,
1.74E+12,917,/jforum/user/login.page-490,200,,Admin2 2-21,text,TRUE,,6785,552,25,125,http://172.26.129.206:8080/jforum/user/login.page,917,0,7,,
1.74E+12,827,/jforum/user/login.page-288,200,,user1 3-10,text,TRUE,,6785,532,25,125,http://172.26.129.206:8080/jforum/user/login.page,827,0,7,,
1.74E+12,715,/jforum/user/insert.page-366,200,,user2 4-8,text,TRUE,,7082,533,25,125,http://172.26.129.206:8080/jforum/user/insert.page,714,0,7,,
1.74E+12,808,/jforum/user/login.page-288,200,,user1 3-11,text,TRUE,,6785,532,25,125,http://172.26.129.206:8080/jforum/user/login.page,808,0,7,,
1.74E+12,251,/jforum/-281,200,,User1N 5-6,text,TRUE,,940,908,21,125,http://172.26.129.206:8080/jforum/install.jsp,40,0,10,,
1.74E+12,40,/jforum/-281-0,301,,User1N 5-6,text,TRUE,,242,422,21,125,http://172.26.129.206:8080/jforum/,40,0,10,,
1.74E+12,210,/jforum/-281-1,200,,User1N 5-6,text,TRUE,,698,486,21,125,http://172.26.129.206:8080/jforum/install.jsp,210,0,11,,
1.74E+12,951,/jforum/-281,200,,User1N 5-1,text,TRUE,,940,908,21,125,http://172.26.129.206:8080/jforum/install.jsp,729,0,12,,
1.74E+12,730,/jforum/-281-0,301,,User1N 5-1,text,TRUE,,242,422,21,125,http://172.26.129.206:8080/jforum/,729,0,12,,
1.74E+12,221,/jforum/-281-1,200,,User1N 5-1,text,TRUE,,698,486,21,125,http://172.26.129.206:8080/jforum/install.jsp,221,0,14,,
1.74E+12,256,/jforum/-281,200,,User1N 5-7,text,TRUE,,940,908,21,125,http://172.26.129.206:8080/jforum/install.jsp,28,0,6,,
1.74E+12,28,/jforum/-281-0,301,,User1N 5-7,text,TRUE,,242,422,21,125,http://172.26.129.206:8080/jforum/,28,0,6,,
1.74E+12,228,/jforum/-281-1,200,,User1N 5-7,text,TRUE,,698,486,21,125,http://172.26.129.206:8080/jforum/install.jsp,228,0,11,,
1.74E+12,258,/jforum/-281,200,,User1N 5-11,text,TRUE,,940,908,21,125,http://172.26.129.206:8080/jforum/install.jsp,39,0,7,,
1.74E+12,40,/jforum/-281-0,301,,User1N 5-11,text,TRUE,,242,422,21,125,http://172.26.129.206:8080/jforum/,39,0,7,,
1.74E+12,218,/jforum/-281-1,200,,User1N 5-11,text,TRUE,,698,486,21,125,http://172.26.129.206:8080/jforum/install.jsp,218,0,11,,
1.74E+12,839,/jforum/-281,200,,User1N 5-2,text,TRUE,,940,908,21,125,http://172.26.129.206:8080/jforum/install.jsp,603,0,6,,
1.74E+12,604,/jforum/-281-0,301,,User1N 5-2,text,TRUE,,242,422,21,125,http://172.26.129.206:8080/jforum/,603,0,6,,
1.74E+12,235,/jforum/-281-1,200,,User1N 5-2,text,TRUE,,698,486,21,125,http://172.26.129.206:8080/jforum/install.jsp,235,0,14,,
1.74E+12,805,/jforum/user/insert.page-366,200,,user2 4-6,text,TRUE,,7082,533,25,125,http://172.26.129.206:8080/jforum/user/insert.page,805,0,6,,
1.74E+12,271,/jforum/-281,200,,User1N 5-9,text,TRUE,,940,908,21,126,http://172.26.129.206:8080/jforum/install.jsp,43,0,7,,
1.74E+12,43,/jforum/-281-0,301,,User1N 5-9,text,TRUE,,242,422,21,126,http://172.26.129.206:8080/jforum/,43,0,7,,
