timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74218E+12,117,/jforum/user/login.page-490,200,,Admin2 2-1,text,TRUE,,6785,552,2,8,http://172.26.129.206:8080/jforum/user/login.page,117,0,7,,61523
1.74218E+12,224,/jforum/jforum.page-127,200,,Admin 1-1,text,TRUE,,1235,1788,6,8,http://172.26.129.206:8080/jforum/install.jsp,110,0,16,,20150
1.74218E+12,110,/jforum/jforum.page-127-0,302,,Admin 1-1,,TRUE,,221,413,6,8,http://172.26.129.206:8080/jforum/jforum.page,110,0,16,,327.5197893
1.74218E+12,50,/jforum/jforum.page-127-1,302,,Admin 1-1,,TRUE,,155,454,6,8,http://172.26.129.206:8080/jforum,50,0,0,,
1.74218E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-1,text,TRUE,,161,455,6,8,http://172.26.129.206:8080/jforum/,12,0,0,,
1.74218E+12,52,/jforum/jforum.page-127-3,200,,Admin 1-1,text,TRUE,,698,466,6,8,http://172.26.129.206:8080/jforum/install.jsp,52,0,11,,
1.74218E+12,194,/jforum/jforum.page-127,200,,Admin 1-2,text,TRUE,,1235,1788,6,8,http://172.26.129.206:8080/jforum/install.jsp,121,0,8,,
1.74218E+12,121,/jforum/jforum.page-127-0,302,,Admin 1-2,,TRUE,,221,413,6,8,http://172.26.129.206:8080/jforum/jforum.page,121,0,8,,
1.74218E+12,12,/jforum/jforum.page-127-1,302,,Admin 1-2,,TRUE,,155,454,6,8,http://172.26.129.206:8080/jforum,12,0,0,,
1.74218E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-2,text,TRUE,,161,455,6,8,http://172.26.129.206:8080/jforum/,12,0,0,,
1.74218E+12,48,/jforum/jforum.page-127-3,200,,Admin 1-2,text,TRUE,,698,466,6,8,http://172.26.129.206:8080/jforum/install.jsp,48,0,7,,
1.74218E+12,28,/jforum/ping_session.jsp-491,200,,Admin2 2-1,text,TRUE,,543,546,3,10,http://172.26.129.206:8080/jforum/ping_session.jsp,28,0,0,,
1.74218E+12,171,/jforum/jforum.page-127,200,,Admin 1-3,text,TRUE,,1235,1788,7,10,http://172.26.129.206:8080/jforum/install.jsp,100,0,12,,
1.74218E+12,100,/jforum/jforum.page-127-0,302,,Admin 1-3,,TRUE,,221,413,7,10,http://172.26.129.206:8080/jforum/jforum.page,100,0,12,,
1.74218E+12,7,/jforum/jforum.page-127-1,302,,Admin 1-3,,TRUE,,155,454,7,10,http://172.26.129.206:8080/jforum,7,0,0,,
1.74218E+12,12,/jforum/jforum.page-127-2,301,,Admin 1-3,text,TRUE,,161,455,7,10,http://172.26.129.206:8080/jforum/,12,0,0,,
1.74218E+12,52,/jforum/jforum.page-127-3,200,,Admin 1-3,text,TRUE,,698,466,7,10,http://172.26.129.206:8080/jforum/install.jsp,52,0,7,,
1.74218E+12,94,/jforum/-129,200,,Admin 1-1,text,TRUE,,859,977,7,11,http://172.26.129.206:8080/jforum/install.jsp,12,0,0,,
1.74218E+12,85,/jforum/-129,200,,Admin 1-2,text,TRUE,,859,977,7,11,http://172.26.129.206:8080/jforum/install.jsp,16,0,0,,
1.74218E+12,13,/jforum/-129-0,301,,Admin 1-1,text,TRUE,,161,511,7,11,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,12,0,0,,
1.74218E+12,16,/jforum/-129-0,301,,Admin 1-2,text,TRUE,,161,511,7,11,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,16,0,0,,
1.74218E+12,81,/jforum/-129-1,200,,Admin 1-1,text,TRUE,,698,466,7,11,http://172.26.129.206:8080/jforum/install.jsp,81,0,12,,
1.74218E+12,69,/jforum/-129-1,200,,Admin 1-2,text,TRUE,,698,466,7,11,http://172.26.129.206:8080/jforum/install.jsp,69,0,8,,
1.74218E+12,157,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,4,11,http://172.26.129.206:8080/jforum/user/login.page,157,0,11,,
1.74218E+12,125,/jforum/user/login.page-490,200,,Admin2 2-3,text,TRUE,,6785,552,7,18,http://172.26.129.206:8080/jforum/user/login.page,123,0,15,,
1.74218E+12,124,/jforum/-129,200,,Admin 1-3,text,TRUE,,859,977,10,18,http://172.26.129.206:8080/jforum/install.jsp,13,0,0,,
1.74218E+12,13,/jforum/-129-0,301,,Admin 1-3,text,TRUE,,161,511,10,18,http://172.26.129.206:8080/jforum/?OWASP_CSRFTOKEN=YB7Z-SH0T-PL0Q-M7WL-419Z-S150-1437-ARGF,13,0,0,,
1.74218E+12,111,/jforum/-129-1,200,,Admin 1-3,text,TRUE,,698,466,10,18,http://172.26.129.206:8080/jforum/install.jsp,111,0,56,,
1.74218E+12,230,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,9,26,http://172.26.129.206:8080/jforum/user/login.page,230,0,54,,
1.74218E+12,158,/jforum/user/login.page-288,200,,user1 3-1,text,TRUE,,6785,532,3,31,http://172.26.129.206:8080/jforum/user/login.page,158,0,7,,
1.74218E+12,176,/jforum/user/login.page-490,200,,Admin2 2-6,text,TRUE,,6785,552,10,32,http://172.26.129.206:8080/jforum/user/login.page,175,0,8,,
1.74218E+12,176,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,10,32,http://172.26.129.206:8080/jforum/user/login.page,176,0,8,,
1.74218E+12,166,/jforum/user/login.page-490,200,,Admin2 2-7,text,TRUE,,6785,552,11,36,http://172.26.129.206:8080/jforum/user/login.page,165,0,6,,
1.74218E+12,194,/jforum/forums/list.page-130,200,,Admin 1-1,text,TRUE,,17118,471,13,36,http://172.26.129.206:8080/jforum/forums/list.page,187,0,0,,
1.74218E+12,20,/jforum/ping_session.jsp-289,200,,user1 3-1,text,TRUE,,543,526,5,37,http://172.26.129.206:8080/jforum/ping_session.jsp,20,0,0,,
1.74218E+12,21,/jforum/ping_session.jsp-491,200,,Admin2 2-5,text,TRUE,,543,546,11,37,http://172.26.129.206:8080/jforum/ping_session.jsp,21,0,0,,
1.74218E+12,20,/jforum/ping_session.jsp-491,200,,Admin2 2-6,text,TRUE,,543,546,11,37,http://172.26.129.206:8080/jforum/ping_session.jsp,20,0,0,,
1.74218E+12,21,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,11,37,http://172.26.129.206:8080/jforum/ping_session.jsp,21,0,0,,
1.74218E+12,17,/jforum/ping_session.jsp-491,200,,Admin2 2-7,text,TRUE,,543,546,11,37,http://172.26.129.206:8080/jforum/ping_session.jsp,17,0,0,,
1.74218E+12,19,/jforum/ping_session.jsp-133,200,,Admin 1-1,text,TRUE,,543,527,14,38,http://172.26.129.206:8080/jforum/ping_session.jsp,19,0,0,,
1.74218E+12,136,/jforum/-281,200,,User1N 5-1,text,TRUE,,940,908,4,41,http://172.26.129.206:8080/jforum/install.jsp,18,0,6,,
1.74218E+12,18,/jforum/-281-0,301,,User1N 5-1,text,TRUE,,242,422,4,41,http://172.26.129.206:8080/jforum/,18,0,6,,
1.74218E+12,118,/jforum/-281-1,200,,User1N 5-1,text,TRUE,,698,486,4,41,http://172.26.129.206:8080/jforum/install.jsp,118,0,67,,
