timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,
1.74217E+12,584,/jforum/user/login.page-490,200,,Admin2 2-8,text,TRUE,,6785,552,23,58,http://172.26.129.206:8080/jforum/user/login.page,584,0,7,,62994
1.74217E+12,574,/jforum/user/login.page-490,200,,Admin2 2-9,text,TRUE,,6785,552,23,58,http://172.26.129.206:8080/jforum/user/login.page,574,0,7,,20150
1.74217E+12,561,/jforum/user/login.page-490,200,,Admin2 2-4,text,TRUE,,6785,552,23,59,http://172.26.129.206:8080/jforum/user/login.page,559,0,7,,319.8717338
1.74217E+12,624,/jforum/user/login.page-490,200,,Admin2 2-5,text,TRUE,,6785,552,23,60,http://172.26.129.206:8080/jforum/user/login.page,622,0,6,,
1.74217E+12,553,/jforum/user/login.page-490,200,,Admin2 2-12,text,TRUE,,6785,552,25,66,http://172.26.129.206:8080/jforum/user/login.page,540,0,6,,
1.74217E+12,564,/jforum/user/login.page-490,200,,Admin2 2-11,text,TRUE,,6785,552,25,66,http://172.26.129.206:8080/jforum/user/login.page,563,0,5,,
1.74217E+12,31,/jforum/ping_session.jsp-491,200,,Admin2 2-9,text,TRUE,,543,546,25,68,http://172.26.129.206:8080/jforum/ping_session.jsp,31,0,0,,
1.74217E+12,31,/jforum/ping_session.jsp-491,200,,Admin2 2-5,text,TRUE,,543,546,25,68,http://172.26.129.206:8080/jforum/ping_session.jsp,31,0,0,,
1.74217E+12,634,/jforum/user/login.page-490,200,,Admin2 2-3,text,TRUE,,6785,552,25,68,http://172.26.129.206:8080/jforum/user/login.page,633,0,7,,
1.74217E+12,39,/jforum/ping_session.jsp-491,200,,Admin2 2-8,text,TRUE,,543,546,25,68,http://172.26.129.206:8080/jforum/ping_session.jsp,39,0,0,,
1.74217E+12,704,/jforum/user/login.page-490,200,,Admin2 2-2,text,TRUE,,6785,552,25,68,http://172.26.129.206:8080/jforum/user/login.page,703,0,7,,
1.74217E+12,585,/jforum/user/login.page-490,200,,Admin2 2-13,text,TRUE,,6785,552,25,69,http://172.26.129.206:8080/jforum/user/login.page,584,0,6,,
1.74217E+12,709,/jforum/user/login.page-490,200,,Admin2 2-7,text,TRUE,,6785,552,25,74,http://172.26.129.206:8080/jforum/user/login.page,708,0,7,,
1.74217E+12,116,/jforum/ping_session.jsp-491,200,,Admin2 2-4,text,TRUE,,543,546,25,74,http://172.26.129.206:8080/jforum/ping_session.jsp,116,0,0,,
